aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone
-0.004369504,-0.000687054,0.00317149,0.035081879,-0.235639151,0.00779858,0.080886433,0.741381939,-0.120636338,0.005442664,0.238365134,0.755475295,1,0,0,0
-0.004387185,-0.001251059,0.003347583,0.035081879,-0.235353646,0.007082863,0.078806497,0.73860869,-0.119711922,0.005658451,0.238060074,0.752385676,1,0,0,0
-0.004123045,-0.000810464,0.003524038,0.03558249,-0.235162006,0.008131017,0.078806497,0.73860869,-0.119711922,0.005484162,0.237977943,0.752385676,1,0,0,0
0.005602881,0.006871621,0.076081108,0.021796133,-0.217300363,0.012304079,0.079730913,0.741381939,-0.127338357,0.076596038,0.218735708,0.756451753,1,0,0,0
0.132833415,0.038939065,0.299408246,0.041566355,-0.296690224,0.025445117,0.079499809,0.743461876,-0.128262773,0.32985801,0.300667734,0.758621855,1,0,0,0
0.076398293,0.014712118,0.135881856,0.048840858,-0.312619821,0.02702126,0.079499809,0.743461876,-0.128262773,0.156578992,0.317563355,0.758621855,1,0,0,0
0.020403406,0.003629766,0.023821715,0.05897432,-0.338233113,0.025613291,0.07788208,0.740688627,-0.129649398,0.031574526,0.344291288,0.755972371,1,0,0,0
-0.002079204,0.00075778,0.008157682,0.062361266,-0.349966182,0.022871664,0.078806497,0.740457523,-0.133347063,0.008452494,0.356212087,0.756484796,1,0,0,0
-0.010131157,-0.002449073,0.010324932,0.061406976,-0.344576792,0.022081637,0.079962017,0.737453169,-0.136813625,0.014670981,0.350701455,0.754287126,1,0,0,0
-0.006995031,-0.001092286,0.006342979,0.061622082,-0.341119448,0.021866531,0.080886433,0.739070898,-0.13935577,0.009505448,0.347330153,0.756431383,1,0,0,0
-0.004915827,-0.00063437,0.007540993,0.061743324,-0.334153915,0.021819599,0.086664036,0.738377586,-0.143977852,0.009024077,0.340509328,0.757259358,1,0,0,0
0.001532881,0.000229138,0.006396024,0.059259824,-0.320250228,0.022820821,0.08689514,0.735604337,-0.144208956,0.006581139,0.326484399,0.754626218,1,0,0,0
0.029406914,0.004810099,-0.009426422,0.052036164,-0.274581209,0.024396963,0.08689514,0.735604337,-0.144208956,0.031253011,0.280529876,0.754626218,1,0,0,0
0.053017173,0.008369138,-0.02553069,0.049603508,-0.264854494,0.023704712,0.091748326,0.735373233,-0.146751101,0.059436291,0.270502012,0.755465044,1,0,0,0
0.05729863,0.007065396,-0.038692606,0.046646774,-0.244583661,0.027208989,0.093828263,0.733293296,-0.144671164,0.069499248,0.250473662,0.753294462,1,0,0,0
0.040859496,0.004105363,-0.034798699,0.044714729,-0.229201607,0.027662667,0.097525928,0.731213359,-0.14559558,0.053826554,0.235154184,0.751919115,1,0,0,0
