aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone
-34.67,436.52,-922.36,-0.37,-1.89,3.84,144.75,220.35,-71.1,1021.02874,4.295881749,273.0602406,0,1,0,0
-38.09,430.66,-912.6,1.22,0.24,-1.1,142.65,218.25,-68.7,1009.830502,1.660120478,269.6326668,0,1,0,0
-45.41,421.39,-921.88,0.43,1.1,0.24,142.65,218.25,-68.7,1014.640002,1.205197079,269.6326668,0,1,0,0
-36.13,439.45,-916.5,0.3,-1.28,-0.49,143.25,217.2,-68.25,1017.051586,1.40303243,268.9878529,0,1,0,0
-53.22,430.66,-908.2,0.55,0.61,1.04,142.05,218.4,-67.8,1006.54242,1.325216963,269.209217,0,1,0,0
-34.18,435.06,-896,1.16,-1.34,-1.83,142.65,218.55,-70.2,996.6250428,2.547567467,270.2612902,0,1,0,0
-37.11,445.8,-904.79,0.24,-0.37,-3.29,142.65,218.55,-70.2,1009.336285,3.319427662,270.2612902,0,1,0,0
-33.69,436.52,-921.39,1.34,1.4,0.24,143.25,218.7,-67.8,1020.119728,1.952741662,270.0871943,0,1,0,0
-35.16,430.18,-910.16,0.12,-1.16,-0.3,143.7,219.3,-69.45,1007.314392,1.204159458,271.2295753,0,1,0,0
-35.16,442.38,-916.99,1.22,-1.71,-0.55,143.7,219.3,-69.45,1018.728104,2.171405075,271.2295753,0,1,0,0
-28.32,425.78,-905.27,2.87,1.77,-0.73,143.1,218.25,-67.2,1000.80188,3.450028985,269.4930658,0,1,0,0
-33.69,426.76,-907.71,0.43,1.65,0.67,143.7,219.75,-69.45,1003.591828,1.832020742,271.5935474,0,1,0,0
-37.6,429.69,-912.6,-0.3,2.01,-1.04,143.7,219.75,-69.45,1009.398839,2.282914803,271.5935474,0,1,0,0
-34.18,434.08,-910.64,0.85,-1.46,2.93,142.5,218.4,-66,1009.385421,3.382159074,268.9996468,0,1,0,0
-30.27,428.22,-909.67,0.61,-0.18,1.83,142.5,218.4,-66,1005.876807,1.93736935,268.9996468,0,1,0,0
-42.97,438.96,-907.23,-0.18,0.55,0.85,142.5,218.7,-67.5,1008.760911,1.028299567,269.614892,0,1,0,0
-41.02,425.78,-892.09,-1.04,-0.61,0.61,142.05,218.7,-68.85,989.3411024,1.351221669,269.7187702,0,1,0,0
-36.62,437.99,-906.74,0.55,0.43,1.95,142.05,218.7,-68.85,1007.647603,2.071207377,269.7187702,0,1,0,0
-34.67,430.66,-899.9,0.85,1.77,-0.55,143.25,217.95,-70.05,998.2434846,2.039092936,270.0551194,0,1,0,0
-45.9,424.8,-905.76,1.22,-0.85,1.4,141.9,219.3,-68.4,1001.480418,2.04227814,270.0123331,0,1,0,0
-39.06,437.5,-905.27,0.06,-1.46,2.01,142.35,219.3,-67.65,1006.203611,2.48501509,270.0602433,0,1,0,0
-37.6,444.34,-908.69,-0.43,1.52,1.1,142.35,219.3,-67.65,1012.210112,1.924915583,270.0602433,0,1,0,0
-33.2,430.66,-898.93,0,0.79,-0.18,142.8,219.15,-66.3,997.3191167,0.810246876,269.8411616,0,0,1,0
-31.25,430.18,-908.2,1.52,-1.28,-0.37,143.25,219.15,-68.55,1005.414658,2.021311455,270.6406982,0,0,1,0
-41.99,426.76,-905.76,-1.89,-0.49,-0.67,143.25,219.15,-68.55,1002.141924,2.064243203,270.6406982,0,0,1,0
-32.71,432.62,-913.57,0.55,-2.44,-1.34,143.4,219.75,-68.4,1011.355602,2.837551762,271.1681812,0,0,1,0
-43.46,423.34,-920.41,1.65,-0.06,-2.13,142.05,217.95,-68.55,1014.031605,2.694995362,269.0343984,0,0,1,0
-34.67,434.08,-910.64,1.28,-1.1,-0.79,145.5,219.15,-69.3,1009.402132,1.863464515,272.0284222,0,0,1,0
-48.34,423.34,-912.11,0.37,0.12,-1.52,145.5,219.15,-69.3,1006.726459,1.568980561,272.0284222,0,0,1,0
-38.57,425.78,-914.06,1.4,0.18,-1.28,143.55,217.95,-69.3,1009.099567,1.905465822,270.0209159,0,0,1,0
-40.04,429.2,-906.25,0.91,-2.68,-0.91,143.55,218.4,-71.85,1003.546164,2.972978305,271.0490454,0,0,1,0
-33.2,429.69,-907.71,0.55,1.34,-2.13,143.55,218.4,-71.85,1004.82495,2.575849374,271.0490454,0,0,1,0
-38.57,430.18,-912.11,-0.85,-1.16,0.49,144.45,215.4,-69.15,1009.201233,1.519276143,268.41141,0,0,1,0
-29.3,433.11,-916.99,2.07,-0.24,2.87,143.7,219.3,-69.15,1014.550848,3.546744987,271.1529135,0,0,1,0
-42.48,437.01,-915.04,-0.98,-3.17,0.73,143.7,218.55,-68.7,1014.928811,3.397381345,270.4320294,0,0,1,0
-33.2,420.41,-902.34,-0.06,0.67,-1.04,143.7,218.55,-68.7,996.0242385,1.238587906,270.4320294,0,0,1,0
-44.43,428.71,-918.95,0.18,-0.61,0.24,144.3,218.7,-69.3,1015.005119,0.679779376,271.0252202,0,0,1,0
-27.34,444.34,-915.04,1.28,1.22,0.61,142.8,217.2,-67.5,1017.587202,1.870534683,268.5589879,0,0,1,0
-48.34,428.71,-915.04,1.28,-0.79,1.22,142.8,217.2,-67.5,1011.645798,1.936724038,268.5589879,0,0,1,0
-35.64,434.08,-910.16,1.1,-0.55,0.98,143.55,217.95,-67.5,1009.002915,1.572545707,269.5645655,0,0,1,0
-41.5,429.2,-904.79,0.85,-0.98,0.3,142.05,217.2,-68.25,1002.287301,1.33150291,268.3507127,0,0,1,0
-34.18,432.62,-903.81,1.22,-1.04,0.55,142.35,219.75,-67.65,1002.597054,1.694845126,270.4257893,0,0,1,0
-37.6,421.88,-902.34,0.79,-0.3,-0.79,142.35,219.75,-67.65,996.801871,1.156805947,270.4257893,0,0,1,0
-37.11,435.06,-917.97,0.67,2.99,0.18,143.1,219.75,-67.65,1016.525099,3.069429914,270.8213341,0,0,1,0
-34.67,430.66,-899.41,1.71,-0.67,1.46,143.4,218.25,-68.7,997.8017802,2.346188398,270.0302066,0,0,1,0
-28.81,441.41,-898.93,0.61,-2.38,0.49,143.4,218.25,-68.7,1001.872222,2.505314352,270.0302066,0,0,1,0
-32.23,412.6,-904.79,0.85,-0.55,-1.46,144,219.9,-70.8,994.9484796,1.776682301,272.2216927,0,0,1,0
-39.55,430.66,-913.57,1.52,-0.55,-0.06,144,219.6,-69.3,1010.763268,1.617559891,271.5928018,0,0,1,0
-43.95,416.5,-907.71,1.83,-2.44,-1.16,144.3,219.15,-68.25,999.670594,3.263142657,271.122251,1,0,0,0
-29.79,440.43,-906.25,2.32,0.85,1.34,144.3,219.15,-68.25,1008.045183,2.810782809,271.122251,1,0,0,0
-49.32,422.85,-919.43,0.91,-0.73,0.06,143.7,219.3,-68.7,1013.205858,1.168160948,271.0385028,1,0,0,0
-32.23,433.11,-911.13,0.61,0.43,-3.17,144.75,217.95,-67.8,1009.34678,3.256670078,270.2806042,1,0,0,0
-32.71,430.66,-913.57,1.83,-0.49,0.61,144.75,217.95,-67.8,1010.51874,1.99025124,270.2806042,1,0,0,0
-37.6,418.95,-916.5,-0.67,-1.16,-1.04,142.65,218.55,-67.2,1008.417132,1.695906837,269.4976159,1,0,0,0
-38.57,428.71,-901.37,1.95,-0.98,2.01,143.7,217.8,-68.7,998.8732582,2.966985002,269.8262774,1,0,0,0
-33.2,436.52,-910.64,0.12,-1.52,-1.77,142.8,218.4,-67.8,1010.404454,2.336172083,269.6057121,1,0,0,0
-37.11,427.73,-911.62,0.24,-0.06,-1.28,142.8,218.4,-67.8,1007.661218,1.303687079,269.6057121,1,0,0,0
-40.53,432.13,-918.46,-0.24,-0.79,-1.04,144,217.65,-68.55,1015.84831,1.327893068,269.8270279,1,0,0,0
-34.67,444.34,-905.76,0.79,-1.4,-0.49,144,217.65,-68.55,1009.475716,1.680535629,269.8270279,1,0,0,0
